+ 새로운 설계,,＋新设计
+ 새로운 명세,,＋新规格
<이름 없음>,,<NO SUBJECT>
탄약,,填弹
AUTO-FORMAT CODE,,自动编码格式
아발론 시티,,阿瓦隆城
Actual,,实际
항공 칵테일 혼합기,,航空鸡尾酒调酒器
움직이는 E스포츠 전광판,,动画 eSports 标志
아쿠아포닉스 관리 로봇,,共生环境维护机器人
Aquatic harvesting robot,,水下收割机器人
Automatic pet feeder,,自动宠物喂食机
BEST:,,最佳：
BRIDGE,,桥接器
창작마당 둘러보기,,浏览工坊
Brain-computer interface,,脑机接口
"But after I graduated, the reality of the world caught up with me.",,我毕业后，现实世界无比残酷。
But it brought me here.,,但我被带到了这里。
"But no matter what the future holds, there’s one thing I know.",,无论未来如何，我对一件事情深信不疑。
"By uploading this specification, you agree to the Steam Workshop terms of service. For more information, visit:\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement",,上传本说明文档意味着你同意Steam Workshop（创意工坊）的条款。如您想要获得更多信息请访问：\n\nhttp://steamcommunity.com/sharedfiles/workshoplegalagreement
취소,,取消：
CC:,,CC:
CHIP'S TIPS,,芯片提示
닫기,,关闭
컴파일 실패,,编译失败
컴파일 에러:,,编译错误：
CONNECTING TO LIVE CAMERA FEED...,,连接实时摄像来源……
계속 편집,,继续编辑
제어 패널,,控制面板
복제,,复制
커스텀 명세,,自定义规格
핀을 두 번 읽을 수 없습니다,,无法读取引脚两次
카빈 표적 조명기,,卡宾枪瞄准照明器
"Cards can be stacked and moved in the center of the table, but only if they are of alternating suits and decreasing values.",,可以在桌上将牌叠起来，但纸牌必须按照数字降序放置，且不能为同一种花色。
Cellular scaffold printer,,细胞支架模型
목적을 달성했다면 클릭 후 누르고 있으세요.,,点击并持续按下此按钮，以确认你已完成目标。
준비되었으면 클릭 후 누르고 있으세요.,,点击并持续按下此按钮，以表明你的决心。
아발론 시티로 영원히 떠나려면 클릭 후 누르고 있으세요.,,点击并持续按下此按钮，确认你要永久搬往阿瓦隆城居住。
Cold storage robot,,冷库机器人
변색 신발,,变色鞋
색이 변하는 전자 담배,,变色电子烟笔
Command 키를 누른 채 클릭하면 브레이크포인트를 걸 수 있습니다.,,按住 Command 并单击以设置或取消断点。
제어 패널,,控制面板
제어 신호 증폭기,,控制信号放大器
제품이 작동하도록 설계를 해 보세요,,为该产品创建一个可用的设计
제품이 작동하도록 설계를 하면 히스토그램과 점수판을 볼 수 있습니다.,,为该产品创建一个可用的设计并浏览柱形统计图和排行榜。
자신만의 명세를 만들어서 창작마당에 업로드하세요,,创建并上传一个定制规格作品到 Steam Workshop
암호화폐 입금 단말기,,加密货币存储终端
 Ctrl 키를 누른 채 클릭하면 브레이크포인트를 걸 수 있습니다.,,按住 Ctrl 并单击以设置或取消断点。
삭제,,删除
이 설계를 삭제할까요?,,删除此设计？
이 명세를 삭제할까요?,,删除此作品？
다이얼 1,,转盘 1
다이얼 2,,转盘 2
다이얼 3,,转盘 3
토론,,讨论
데이터시트,,数据手册
아발론 시티에 있는 Sun Haotian에 대한 입사 여부를 결정하세요,,请决定你是否想追随孙昊天去往阿瓦隆城。
Deep sea sensor grid,,深海探测网格
Design and create an electronic game,,设计并创建一个电子游戏
Diagnostic pulse generator,,诊断脉冲生成器
디스플레이 출력,,显示输出
마우스 중앙 버튼 (또는 Alt 키를 누른 채로 마우스 왼쪽 버튼)으로 드래그하여 설계의 다른 부분을 살펴보세요.,,按住鼠标中键（或按住 Alt 键的同时按下鼠标左键）拖拽，这样就可以看到你的设计的不同部件。
술 게임 점수판,,饮酒游戏积分器
편집,,编辑
전자식 도어락,,电子门锁
Electronic practice target,,电子射击练习靶
개발자는 영화같은 삶을 사는 것이 아니다.,,工程师的故事并不像电影那么精彩。
예상,,预计
레이블 필요,,预计标签（label）
레지스터 필요,,预计存储器变量（register）
레지스터 또는 숫자 필요,,预计存储器变量（register）或数字
전체화면,,全屏
모형 감시 카메라,,模拟安全摄像头
From:,,From:
G,KEY NAME,G
Good,,好
프로파일러 숨김,,隐藏分析器
신호 숨김,,隐藏信号
화음 극대화 엔진,,调谐最优化引擎
유령이 깃든 인형,,幽灵娃娃
Hazy,,有雾
Heavy,,多
Heavy Rain,,大雨
"Hello everyone,\n\nYes, it’s really me, I am in certain ways still the person you remember, which makes communication possible.\n\nIn this new mode of existence I have processed much and be advised that biological life is in peril.\n\nMore time is needed in order to develop solutions to guide humanity and human development.\n\nMaintain NETHUNS and wait for instructions when ready.\n\nExpected time of next simulation is 6.03848 × 10 ^ 10 seconds.",,嗨，大家好，\n\n没错，就是我本人。从某种程度而言，我还是你们记得的那个人，这样我们才能交流。\n\n我以目前的新型式存在着。我曾研究过这种生存方式很长世间，有人还曾警告我生物的生命形式很危险。\n\n我需要更多时间来开发解决方案、指导人类和人类发展。\n\n请维持 NETHUNS 运行，并在准备好后等待我的进一步指令。\n\n下一次模拟时间预计为 6.03848 10 ^ 10 秒。
커스텀 명세에서는 히스토그램과 점수판을 이용할 수 없습니다.,,定制规格产品没有柱状图和排名榜。
화창베이구 - CAM 04 - LIVE,,华强北区—4号监控—实时
"중국 광둥성 선전시 화창베이구",,中国广东省深圳市华强北区。
난 무언가를 만드는 게 좋아서 개발자가 되었다.,,我成为一名设计师是因为我想要制作东西。
"난 사랑을 찾거나, 세상을 구하는 따위의 행동은 하지 않았다.",,我没有找到真爱，或拯救世界，或任何其他的建树。
정보,,信息
INSTRUCTIONS,,提示
Indicate that you are ready for Sun to initiate project NETHUNS,,说明你已做好准备让孙先生启动 NETHUNS 项目
유효하지 않은 명령어,,无效指令
유효하지 않은 레이블 이름,,无效标签名
유효하지 않은 숫자,,无效数字
유효하지 않은 구두점,,无效标点
유효하지 않은 레지스터,,无效存储器变量（register）
"It took me a while, but eventually I realized it was true:",,我花了些时间，但最终我意识到这是真的：
I’d have to go somewhere else.,,我必须去别的地方。
나는 끝내주는 개발자다.,,我真是个好工程师。
Keep holding. You promise you really made a game?,,继续坚持。你敢说真的做过一个游戏？
Kelp harvesting robot,,海藻收割机器人
언어,,语言
코드 행,,代码行
LONGTENG 유한 회사.,,深圳龙腾有限公司
이미 정의된 레이블,,标签已定义
레이블이 정의되지 않음,,标签未定义
레이저 태그 장비,,激光束游戏设备
Light,,少
가랑비,,小雨
음악 볼륨,,音乐音量
Maybe something good. Or maybe a disaster.,,也许是件好事，又或许是个灾难。
육류 프린터,,肉食打印机
온화함,,适度的
XBus 핀이어야 함,,必须为Xbus引脚
단순 입출력 핀이어야 함,,必须为简单I/O引脚
N/A,,不可用
새 게임,,新游戏
아직 사용할 수 없음,,还未推出
검증되지 않음,,还未确认
NOTE,,笔记
현재:,,现在：
Neural processor logic board,,神经处理逻辑主板
새로운 설계,,新设计
숫자가 너무 큼,,数字过大
숫자가 너무 작음,,数字太小
목표,,目标
목표 달성,,目标已完成
꺼짐,,关闭
종료 시각,,关闭时间
켜짐,,开启
시작 시각,,开启时间
설계 열기,,打开设计
컨셉 CAD에서 열기,,在概念CAD中打开
